ID,Carriera Triennale,Scuola Triennale,CDS Triennale,Maturità,Carriera Magistrale,Scuola Magistrale,CDS Magistrale
99620806,DECADUTO,Arc - Urb - Cost,ARCHITETTURA E PRODUZIONE EDILIZIA,CLASSICA,#N/D,,
99672596,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,SCIENTIFICA,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA
99689821,ATTIVO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,ARTISTICA (QUINQUENNALE),#N/D,,
99656541,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA BIOMEDICA,SCIENTIFICA,#N/D,,
99598599,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,SCIENTIFICA,#N/D,,
99624137,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA AMBIENTALE,SCIENTIFICA,#N/D,,
99622493,RINUNCIA AGLI STUDI,Arc - Urb - Cost,ARCHITETTURA AMBIENTALE,SCIENTIFICA,#N/D,,
99654998,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA BIOMEDICA,SCIENTIFICA,#N/D,,
99671915,TITOLO CONSEGUITO,Des,DESIGN DEGLI INTERNI,TECNICA PERITI AZ/LI E CORR.LING.EST.,TITOLO CONSEGUITO,Des,PRODUCT SERVICE SYSTEM DESIGN
99598885,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA DELLE COSTRUZIONI,ARTISTICA (QUINQUENNALE),#N/D,,
99711409,RINUNCIA AGLI STUDI,Ing Ind - Inf,INGEGNERIA ELETTRICA,TECNICA INDUSTRIALE,#N/D,,
99624745,ATTIVO,Ing Ind - Inf,INGEGNERIA BIOMEDICA,SCIENTIFICA,#N/D,,
99596944,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA DELLE COSTRUZIONI,ARTISTICA (QUINQUENNALE),#N/D,,
99599374,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,ARTISTICA (QUINQUENNALE),#N/D,,
99592135,DECADUTO,Ing Ind - Inf,INGEGNERIA ELETTRONICA,SCIENTIFICA,#N/D,,
99988256,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA E PRODUZIONE EDILIZIA,SCIENTIFICA,TITOLO CONSEGUITO,Arc - Urb - Cost,GESTIONE DEL COSTRUITO
99724107,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA INFORMATICA (ON LINE),TECNICA INDUSTRIALE,#N/D,,
99674662,CONGEDATO,Ing Ind - Inf,INGEGNERIA INFORMATICA,SCIENTIFICA,#N/D,,
99801215,TITOLO CONSEGUITO,Des,DESIGN DELLA COMUNICAZIONE,SCIENTIFICA,#N/D,,
99679253,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA CHIMICA,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA CHIMICA
99606454,CONGEDATO,Ing Ind - Inf,INGEGNERIA MECCANICA,SCIENTIFICA,#N/D,,
99634145,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,ARTISTICA (QUINQUENNALE),TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA
99689781,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,SCIENTIFICA,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA - PROGETTAZIONE ARCHITETTONICA
99674177,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,SCIENTIFICA,#N/D,,
99731696,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA INFORMATICA,SCIENTIFICA,#N/D,,
99619585,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,SCIENTIFICA,#N/D,,
99672608,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,SCIENTIFICA,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA
99823652,DECADUTO,Des,DESIGN DEL PRODOTTO INDUSTRIALE,ARTE APPLICATA,#N/D,,
99661065,TITOLO CONSEGUITO,Ing - Civ,INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,ARTISTICA (QUINQUENNALE),TITOLO CONSEGUITO,Ing - Civ,INGEGNERIA PER L'AMBIENTE E IL TERRITORIO
99625808,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,SCIENTIFICA,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA - PROGETTAZIONE ARCHITETTONICA
99660436,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA MECCANICA,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA MECCANICA
99695794,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA NUCLEARE
99679232,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA
99619544,RINUNCIA AGLI STUDI,Ing Ind - Inf,INGEGNERIA ELETTRICA,TECNICA INDUSTRIALE,#N/D,,
